ENG;7;FW;Jack Grealish;10/09/1995
ENG;8;MF;Jordan Henderson;17/06/1990
ENG;9;FW;Harry Kane;28/07/1993
ENG;10;FW;Raheem Sterling;08/12/1994
ENG;11;FW;Marcus Rashford;31/12/1997
ENG;12;DF;Kieran Trippier;19/09/1990
ENG;13;GK;Nick Pope;19/04/1992
ENG;14;MF;Kalvin Phillips;02/12/1995
ENG;15;DF;Eric Dier;15/01/1994
ENG;16;DF;Conor Coady;25/02/1993
ENG;17;FW;Bukayo Saka;05/09/2001
ENG;18;DF;Trent Alexander-Arnold;07/12/1998
ENG;19;MF;Mason Mount;10/01/1999
ENG;20;MF;Phil Foden;28/05/2000
ENG;21;DF;Ben White;08/12/1997
ENG;22;MF;Jude Bellingham;29/06/2003
ENG;23;GK;Aaron Ramsdale;14/05/1998
ENG;24;FW;Callum Wilson;27/02/1992
ENG;25;MF;James Maddison;23/11/1996
ENG;26;MF;Conor Gallagher;06/02/2000
IRN;1;GK;Alireza Beiranvand;21/09/1992
IRN;2;DF;Sadegh Moharrami;01/03/1996
IRN;3;DF;Ehsan Hajsafi;25/02/1990
IRN;4;DF;Shojae Khalilzadeh;14/05/1989
IRN;5;DF;Milad Mohammadi;29/09/1993
IRN;6;MF;Saeid Ezatolahi;01/12/1996
IRN;7;MF;Alireza Jahanbakhsh;11/08/1993
IRN;8;DF;Morteza Pouraliganji;19/04/1992
IRN;9;FW;Mehdi Taremi;18/07/1992
IRN;10;FW;Karim Ansarifard;03/04/1990
IRN;11;MF;Vahid Amiri;02/04/1988
IRN;12;GK;Payam Niazmand;06/04/1995
IRN;13;DF;Hossein Kanaanizadegan;23/03/1994
IRN;14;MF;Saman Ghoddos;06/09/1993
IRN;15;DF;Rouzbeh Cheshmi;24/07/1993
IRN;16;MF;Mehdi Torabi;10/09/1994
IRN;17;MF;Ali Gholizadeh;10/03/1996
IRN;18;MF;Ali Karimi;11/02/1994
IRN;19;DF;Majid Hosseini;20/06/1996
IRN;20;FW;Sardar Azmoun;01/01/1995
IRN;21;MF;Ahmad Nourollahi;01/02/1993
IRN;22;GK;Amir Abedzadeh;26/04/1993
IRN;23;DF;Ramin Rezaeian;21/03/1990
IRN;24;GK;Hossein Hosseini;30/06/1992
